ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName
K06978.01,CAND,3.07551068,1.683,46.1,0.84,1389,879.95,5763,4.256,1.242,282.84103,44.049728,TBD,N/A
K06980.01,CAND,6.29340543,3.024,96.4,1.08,1072,312.61,6214,4.442,1.076,287.94165,44.008018,TBD,N/A
K06983.01,CAND,7.7021729,3.987,74.6,0.85,888,147.24,5618,4.449,0.969,292.46378,44.090111,TBD,N/A
K07116.01,CAND,2.52557582,2.32,35.4,0.62,1364,818.81,5821,4.421,1.036,293.96545,45.273571,TBD,N/A
K07117.01,CAND,8.2927558,4.784,103.3,1.01,927,174.36,6146,4.497,0.943,294.00787,45.232689,TBD,N/A
K07117.02,CAND,22.786522,2.197,228.3,1.45,661,45.26,6146,4.497,0.943,294.00787,45.232689,TBD,N/A
K07376.01,CAND,1.284241817,1.965,166.5,1.18,1623,1643.57,5849,4.517,0.919,298.17337,48.173611,TBD,N/A
K07378.01,CAND,8.7396758,3.866,1431,3.29,577,26.17,4406,4.643,0.628,282.37042,48.259289,TBD,N/A
K07380.01,CAND,15.9474242,1.127,191.7,1.21,670,47.65,5472,4.44,0.877,285.35583,48.221489,TBD,N/A
K07383.01,CAND,50.0122,3.426,210.4,1.2,432,8.23,5357,4.503,0.814,294.20096,48.250061,TBD,N/A
K07510.01,CAND,5.60682001,2.714,150.7,1.04,942,186.43,5699,4.553,0.853,294.73962,50.566841,TBD,N/A
K02050.02,CAND,3.17796408,0.542,47.7,0.74,1034,270.25,5061,4.488,0.841,297.63519,41.641869,TBD,N/A
K02103.02,CAND,3.66520844,3.308,65.8,0.82,1168,439.57,5579,4.389,1.029,295.50269,43.232792,TBD,N/A
K02199.02,CAND,3.05293416,2.155,227.5,1.18,1047,284.82,5311,4.588,0.788,287.53503,49.801659,TBD,N/A
K02232.02,CAND,12.834857,2.092,293.9,1.73,755,76.96,5492,4.389,1.016,291.81302,38.088181,TBD,N/A
