,ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName,StellarSunLuminosity,DistanceFromStarCoreinAU
107,K00680.01,CFRM,8.600153929,9.0015,4510.2,26.52,1703.0,1.4470138383102695,6093.0,3.475,3.913,292.28732,43.197281,Gas Giant,Kepler-435 b,4.842003401899967,0.06920162247054998
108,K03439.01,CFRM,41.7084063,8.567,330.0,2.19,608.0,0.023481427530954117,6434.0,4.394,1.138,296.10791,39.319908,Gas Giant,Kepler-1502 b,1.7508825651933493,0.3266678055554937
109,K03678.01,CFRM,160.8845197,10.8771,7590.4,9.09,346.0,0.002469045884923525,5650.0,4.313,1.044,289.7916,39.285328,Gas Giant,Kepler-1513 b,0.9551791188313683,0.744077039411876
110,K03681.01,CFRM,217.8318429,21.306,9148.7,11.17,343.0,0.0023962126729788783,6259.0,4.385,1.167,292.62747,37.860142,Gas Giant,Kepler-1514 b,1.6079820341115576,0.9799817537481692
111,K03683.01,CFRM,214.3120439,16.2938,4523.4,9.17,380.0,0.003590677348871085,6471.0,4.287,1.357,290.97394,48.178162,Gas Giant,Kepler-1515 b,2.136269188971185,0.9227411133674166
112,K03762.01,CFRM,240.7990472,16.666,5022.9,10.31,342.0,0.0023452294246176257,5758.0,4.168,1.385,296.66791,49.461861,Gas Giant,Kepler-1519 b,1.3668691617528588,0.9132945781577645
113,K02076.02,CFRM,219.3215562,12.4124,3628.7,6.11,313.0,0.0016533139111434814,6063.0,4.476,1.012,287.47763,46.141178,Gas Giant,Kepler-1085 b,1.2277821503928412,1.030915505348573
114,K03728.01,CFRM,5.546083089,2.717,2211.0,22.27,2336.0,5.118055353241078,7358.0,3.538,4.037,287.80722,43.188782,Gas Giant,Kepler-1517 b,10.624008591319315,0.05450442862776908
115,K02065.01,CFRM,80.2321467,4.656,888.7,3.24,380.0,0.003576110706482156,5436.0,4.505,0.888,282.86319,41.79668,Gas Giant,Kepler-1789 b,0.6961795915956858,0.5278314220983658
116,K01658.01,CFRM,1.544928892,1.43586,5817.3,13.43,1997.0,2.7425054624908958,6309.0,4.199,1.412,294.19211,39.618999,Gas Giant,Kepler-76 b,2.0084791892600693,0.03237427052334125
117,K03094.01,CFRM,4.5770016,0.949,710.0,1.33,567.0,0.01775673707210488,3805.0,4.767,0.497,288.87436,51.154121,Gas Giant,Kepler-1904 b,0.09353315049029262,0.08682429656806867
118,K00754.01,FPOS,1.736952453,2.40641,8079.2,33.46,1395.0,0.6496431172614713,5805.0,4.564,0.791,285.53461,48.28521,,,0.8064471466295999,0.04214932344314647
119,K00114.01,FPOS,7.36178958,5.022,233.7,39.21,1342.0,0.5587909686817188,6227.0,3.986,1.958,298.86435,42.151569,,,2.643130950284891,0.08227629466474684
120,K00742.01,FPOS,11.52144606,3.6399,17984.0,150.51,753.0,0.055265841223597956,5795.0,4.554,0.848,297.07993,47.597401,,,0.8586183055229142,0.14911171083389166
121,K00743.01,FPOS,19.40393776,12.2155,8918.7,7.18,523.0,0.012884195193008013,5043.0,4.591,0.68,289.25821,47.635319,,,0.39487106873478894,0.20943009210004426
122,K00744.01,FPOS,19.22138894,4.79843,74284.0,49.29,698.0,0.04076474872541879,6117.0,4.496,0.947,295.81454,47.69035,,,1.1904041461138148,0.20443012987289716
123,K00745.01,FPOS,16.46983774,9.4378,10479.0,7.94,595.0,0.021565914056809906,5152.0,4.517,0.786,297.15442,47.668701,,,0.49718325498590205,0.18164120968272793
124,K00748.01,FPOS,2.696370652,3.6129,397.9,1.58,1066.0,0.2223889293517844,4989.0,4.504,0.819,283.76547,47.804298,,,0.4555420243060178,0.054143673188527
125,K00113.01,FPOS,386.6030528,6.8057,24927.0,41.5,297.0,0.0013401310997815004,5543.0,4.081,1.58,292.27374,37.671558,,,1.3391435416429989,1.1958590558687812
126,K00770.01,FPOS,1.50635409,1.5155,2211.7,4.53,1452.0,0.7677494537509103,5714.0,4.563,0.831,295.66522,49.351009,,,0.7953394008777342,0.038504063491791016
127,K00771.01,FPOS,670.645531,53.412,18091.0,14.14,196.0,0.00025491624180626365,5520.0,4.466,0.983,296.69861,49.316479,,,0.8194082997396339,2.1448232051593865
