ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetType,PlanetName,StarSunDiameter,PlanetEarthVolume,StarClassification,MainSequence,PlanetEarthTemperature,StarSunMass
K01881.01,CFRM,0.07739157796030116,4.5839,1160.2,Neptune-like,Kepler-995 b,0.3868070470219436,7.218570029491391e-05,K,1,2.0274509803921568,0.8212661801119295
K01950.01,CFRM,0.18183704010951404,7.061,2053.2,Neptune-like,Kepler-1024 b,0.33136179310344827,8.47504467626293e-05,G,0,1.4745098039215687,0.8435290561970105
K02028.01,CFRM,0.15673881396303901,6.083,1455.6,Neptune-like,Kepler-351 c,0.36934397492163007,7.859125731767079e-05,G,0,1.6901960784313725,0.9106620134446497
K02028.02,CFRM,0.10145153347022587,5.439,1028.8,Neptune-like,Kepler-351 b,0.36934397492163007,7.859125731767079e-05,G,0,1.9529411764705882,0.9106620134446497
K01822.01,CFRM,0.41308232662559896,8.6797,659.9,Neptune-like,Kepler-1672 b,0.7583339059561128,0.00010766263149787502,G,0,1.6588235294117648,1.099552909324338
K01885.01,CFRM,0.015479210485968516,1.9483,366.8,Neptune-like,Kepler-998 b,0.40776273354231973,4.4838899159298064e-05,G,0,4.0,1.0240242646976805
K01886.01,CFRM,0.01640481388090349,1.7215,186.3,Neptune-like,Kepler-999 b,0.7399976802507837,6.775108389454377e-05,F,0,5.313725490196078,1.1747782576703378
K01888.01,CFRM,0.32859234798083503,11.637,886.0,Neptune-like,Kepler-1000 b,0.6404581692789969,0.00011185088032044681,F,0,1.8549019607843138,1.407591782557797
K01889.01,CFRM,0.03916543679671458,4.535,863.4,Neptune-like,Kepler-1001 b,0.36934397492163007,7.5142111228494e-05,G,0,2.7176470588235295,0.9383334990667832
K02252.01,CFRM,0.03706922915811088,4.389,134.2,Neptune-like,Kepler-1158 b,0.8718438746081505,5.7157278049215103e-05,F,0,4.231372549019608,1.4072544311550077
K02253.01,CFRM,0.0621717659137577,3.503,298.8,Neptune-like,Kepler-1159 b,0.43308418808777427,4.237522338131465e-05,F,0,2.6549019607843136,1.0657119592916473
K02255.01,CFRM,0.021821601232032854,2.6675,490.8,Neptune-like,Kepler-1160 b,0.35711982445141066,4.4592531581499714e-05,G,0,3.2901960784313724,0.90182672763155
K02338.01,CFRM,0.18120291471594796,5.155,560.5,Neptune-like,Kepler-1196 b,0.42697211285266456,6.701198116114875e-05,G,1,1.7098039215686274,0.9778994563137772
K02102.01,CFRM,0.5140221930184805,5.885,1583.0,Neptune-like,Kepler-1097 b,0.3287423322884013,7.26784354505106e-05,G,0,1.0470588235294118,0.7348631118255758
K00223.01,CFRM,0.008699287066392883,1.5262,1134.3,Neptune-like,Kepler-121 b,0.3090963761755486,6.528740811656036e-05,G,0,3.9098039215686273,0.7810575062417543
K02104.01,CFRM,0.005936895449691992,1.458,466.9,Neptune-like,Kepler-1099 b,0.4841636739811912,5.937458624940018e-05,F,0,6.109803921568627,1.0826288284720345
K02174.02,CFRM,0.0907222069815195,4.163,825.2,Neptune-like,Kepler-1802 c,0.27809942319749215,5.050535344865989e-05,K,0,1.4,0.6484781684229527
K02256.01,CFRM,0.02932932169746749,2.7186,1198.6,Neptune-like,Kepler-1161 b,0.23749778056426332,4.976625071526488e-05,K,0,1.9019607843137254,0.5608081216704668
K02257.01,CFRM,0.08915407227926077,5.418,578.3,Neptune-like,Kepler-1162 b,0.37501947335423197,5.050535344865989e-05,G,0,1.9215686274509804,0.8621896849805486
K02107.01,CFRM,0.22262917234770704,5.807,715.5,Neptune-like,Kepler-1101 b,0.42566238244514104,6.282373233857694e-05,G,1,1.5411764705882354,0.8523652319487889
